N;sum_inf_equiespaciada;sum_inf_aleatoria;sum_inf_coseno;pi;residuo_equiespaciada;residuo_aleatoria;residuo_coseno
10;2,5775393928;2,4021296943;2,7734010631;3,1415926536;-0,5640532608;-0,7394629592;-0,3681915905
20;2,8913251207;2,8629355670;2,9712858872;3,1415926536;-0,2502675329;-0,2786570866;-0,1703067664
30;2,9824900502;2,8460854291;3,0310383395;3,1415926536;-0,1591026034;-0,2955072245;-0,1105543141
40;3,0254268958;2,7647823043;3,0597836151;3,1415926536;-0,1161657578;-0,3768103493;-0,0818090385
50;3,0502917954;2,9962240632;3,0766734444;3,1415926536;-0,0913008582;-0,1453685904;-0,0649192092
60;3,0664738762;3,0209550454;3,0877855314;3,1415926536;-0,0751187774;-0,1206376082;-0,0538071222
70;3,0778296162;3,0239181555;3,0956506949;3,1415926536;-0,0637630374;-0,1176744981;-0,0459419587
80;3,0862304521;3,0520640551;3,1015103052;3,1415926536;-0,0553622015;-0,0895285985;-0,0400823484
90;3,0926928869;3,0703090564;3,1060445734;3,1415926536;-0,0488997667;-0,0712835972;-0,0355480802
100;3,0978160601;3,0652989323;3,1096573972;3,1415926536;-0,0437765935;-0,0762937213;-0,0319352564
200;3,1203079123;3,1077854235;3,1257551761;3,1415926536;-0,0212847413;-0,0338072301;-0,0158374775
300;3,1275715963;3,1150821530;3,1310631637;3,1415926536;-0,0140210573;-0,0265105006;-0,0105294899
400;3,1311503500;3,1226562561;3,1337063335;3,1415926536;-0,0104423036;-0,0189363975;-0,0078863201
500;3,1332782770;3,1263106470;3,1352887768;3,1415926536;-0,0083143766;-0,0152820066;-0,0063038768
600;3,1346880050;3,1287159295;3,1363422991;3,1415926536;-0,0069046486;-0,0128767241;-0,0052503545
700;3,1356902322;3,1320642977;3,1370941102;3,1415926536;-0,0059024214;-0,0095283559;-0,0044985434
800;3,1364391372;3,1321666474;3,1376575832;3,1415926536;-0,0051535164;-0,0094260062;-0,0039350704
900;3,1370198791;3,1333325223;3,1380956117;3,1415926536;-0,0045727745;-0,0082601312;-0,0034970419
1000;3,1374833170;3,1336555060;3,1384458906;3,1415926536;-0,0041093365;-0,0079371476;-0,0031467629
2000;3,1395544388;3,1377074582;3,1400205650;3,1415926536;-0,0020382148;-0,0038851953;-0,0015720886
3000;3,1402386235;3,1390484518;3,1405448818;3,1415926536;-0,0013540300;-0,0025442018;-0,0010477718
4000;3,1405792509;3,1396750141;3,1408069324;3,1415926536;-0,0010134026;-0,0019176395;-0,0007857212
5000;3,1407830830;3,1400428180;3,1409641283;3,1415926536;-0,0008095706;-0,0015498356;-0,0006285253
6000;3,1409187173;3,1402891546;3,1410689113;3,1415926536;-0,0006739363;-0,0013034990;-0,0005237423
7000;3,1410154629;3,1404772150;3,1411437492;3,1415926536;-0,0005771907;-0,0011154386;-0,0004489044
8000;3,1410879418;3,1405913505;3,1411998738;3,1415926536;-0,0005047118;-0,0010013031;-0,0003927798
9000;3,1411442635;3,1407290768;3,1412435239;3,1415926536;-0,0004483901;-0,0008635768;-0,0003491297
10000;3,1411892869;3,1408179234;3,1412784426;3,1415926536;-0,0004033667;-0,0007747302;-0,0003142109
