N;rectangulos;trapecios;puntos_medios;pi;residuo_rectangulos;residuo_trapecios;residuo_puntos_medios
10;3,01923183;3,01923183;3,17713893;3,14159265;-0,12236082;-0,12236082;0,03554628
20;3,10155965;3,10155965;3,15327255;3,14159265;-0,04003301;-0,04003301;0,01167989
30;3,12033906;3,12033906;3,14780184;3,14159265;-0,02125360;-0,02125360;0,00620919
40;3,12795728;3,12795728;3,14557880;3,14159265;-0,01363538;-0,01363538;0,00398615
50;3,13190745;3,13190745;3,14442511;3,14159265;-0,00968521;-0,00968521;0,00283245
60;3,13426075;3,13426075;3,14373743;3,14159265;-0,00733191;-0,00733191;0,00214478
70;3,13579454;3,13579454;3,14328906;3,14159265;-0,00579811;-0,00579811;0,00169641
80;3,13685931;3,13685931;3,14297772;3,14159265;-0,00473335;-0,00473335;0,00138507
90;3,13763387;3,13763387;3,14275119;3,14159265;-0,00395878;-0,00395878;0,00115854
100;3,13821804;3,13821804;3,14258032;3,14159265;-0,00337461;-0,00337461;0,00098766
200;3,14040816;3,14040816;3,14193945;3,14159265;-0,00118449;-0,00118449;0,00034680
300;3,14094945;3,14094945;3,14178100;3,14159265;-0,00064321;-0,00064321;0,00018834
400;3,14117538;3,14117538;3,14171485;3,14159265;-0,00041727;-0,00041727;0,00012219
500;3,14129429;3,14129429;3,14168003;3,14159265;-0,00029836;-0,00029836;0,00008737
600;3,14136579;3,14136579;3,14165909;3,14159265;-0,00022686;-0,00022686;0,00006644
700;3,14141269;3,14141269;3,14164536;3,14159265;-0,00017997;-0,00017997;0,00005271
800;3,14144539;3,14144539;3,14163578;3,14159265;-0,00014726;-0,00014726;0,00004313
900;3,14146926;3,14146926;3,14162879;3,14159265;-0,00012339;-0,00012339;0,00003614
1000;3,14148732;3,14148732;3,14162350;3,14159265;-0,00010533;-0,00010533;0,00003085
2000;3,14155544;3,14155544;3,14160355;3,14159265;-0,00003721;-0,00003721;0,00001090
3000;3,14157240;3,14157240;3,14159859;3,14159265;-0,00002025;-0,00002025;0,00000593
4000;3,14157950;3,14157950;3,14159651;3,14159265;-0,00001315;-0,00001315;0,00000385
5000;3,14158324;3,14158324;3,14159541;3,14159265;-0,00000941;-0,00000941;0,00000276
6000;3,14158550;3,14158550;3,14159475;3,14159265;-0,00000716;-0,00000716;0,00000210
7000;3,14158697;3,14158697;3,14159432;3,14159265;-0,00000568;-0,00000568;0,00000166
8000;3,14158800;3,14158800;3,14159402;3,14159265;-0,00000465;-0,00000465;0,00000136
9000;3,14158876;3,14158876;3,14159379;3,14159265;-0,00000390;-0,00000390;0,00000114
10000;3,14158933;3,14158933;3,14159363;3,14159265;-0,00000333;-0,00000333;0,00000097
