N;montecarlo;pi;residuo
10;3,6000000000;3,1415926536;0,4584073464
20;3,4000000000;3,1415926536;0,2584073464
30;3,6000000000;3,1415926536;0,4584073464
40;3,6000000000;3,1415926536;0,4584073464
50;3,3600000000;3,1415926536;0,2184073464
60;2,8000000000;3,1415926536;-0,3415926536
70;3,2000000000;3,1415926536;0,0584073464
80;3,2000000000;3,1415926536;0,0584073464
90;2,6666666667;3,1415926536;-0,4749259869
100;3,1600000000;3,1415926536;0,0184073464
200;2,9600000000;3,1415926536;-0,1815926536
300;2,9733333333;3,1415926536;-0,1682593203
400;3,0500000000;3,1415926536;-0,0915926536
500;3,2160000000;3,1415926536;0,0744073464
600;3,0866666667;3,1415926536;-0,0549259869
700;3,1257142857;3,1415926536;-0,0158783679
800;3,1350000000;3,1415926536;-0,0065926536
900;3,2666666667;3,1415926536;0,1250740131
1000;3,1440000000;3,1415926536;0,0024073464
2000;3,1580000000;3,1415926536;0,0164073464
3000;3,1066666667;3,1415926536;-0,0349259869
4000;3,1840000000;3,1415926536;0,0424073464
5000;3,1360000000;3,1415926536;-0,0055926536
6000;3,1253333333;3,1415926536;-0,0162593203
7000;3,1525714286;3,1415926536;0,0109787750
8000;3,1265000000;3,1415926536;-0,0150926536
9000;3,1617777778;3,1415926536;0,0201851242
10000;3,1448000000;3,1415926536;0,0032073464
